t,o,h,l,c,v
1763244900000.0,3169.15,3170.99,3158.42,3167.27,1493.9202
1763245800000.0,3167.27,3170.04,3158.0,3164.72,1171.0644
1763246700000.0,3164.72,3172.35,3162.28,3171.52,1073.7074
1763247600000.0,3171.52,3173.72,3168.31,3171.17,1398.0242
1763248500000.0,3171.16,3176.98,3170.15,3173.19,1532.4666
1763249400000.0,3173.19,3177.55,3169.71,3170.98,1089.5878
1763250300000.0,3170.97,3174.84,3167.43,3167.88,951.6334
1763251200000.0,3167.87,3174.76,3156.65,3160.21,2260.9177
1763252100000.0,3160.22,3160.22,3148.0,3150.06,3299.9328
1763253000000.0,3150.05,3160.5,3145.84,3160.49,2755.2159
1763253900000.0,3160.49,3163.91,3152.16,3152.59,1546.7293
1763254800000.0,3152.59,3157.51,3135.52,3157.5,4724.8526
1763255700000.0,3157.5,3157.5,3146.37,3154.7,1472.3513
1763256600000.0,3154.7,3157.94,3132.38,3143.78,4297.113
1763257500000.0,3143.77,3153.46,3131.78,3150.59,2545.1337
1763258400000.0,3150.59,3165.55,3142.3,3156.59,2433.6277
1763259300000.0,3156.6,3185.7,3156.6,3178.0,4088.1804
1763260200000.0,3178.0,3191.03,3175.45,3190.24,3318.926
1763261100000.0,3190.24,3204.8,3185.38,3203.13,7278.1213
1763262000000.0,3203.13,3204.93,3193.2,3194.82,3012.8847
1763262900000.0,3194.82,3210.0,3194.82,3198.56,2880.2743
1763263800000.0,3198.56,3202.29,3194.22,3200.53,1334.6707
1763264700000.0,3200.53,3204.34,3195.51,3202.97,1285.6672
1763265600000.0,3202.95,3207.29,3197.11,3201.04,1391.3245
1763266500000.0,3201.04,3204.49,3193.97,3197.79,1618.2771
1763267400000.0,3197.79,3198.04,3187.03,3190.72,3325.0397
1763268300000.0,3190.73,3195.0,3189.07,3194.35,1001.1884
1763269200000.0,3194.35,3209.99,3193.86,3208.46,1749.5927
1763270100000.0,3208.46,3215.93,3204.69,3208.39,4055.9608
1763271000000.0,3208.39,3213.1,3205.27,3207.78,1542.9079
1763271900000.0,3207.79,3210.45,3201.83,3204.95,1474.599
1763272800000.0,3204.95,3216.45,3200.97,3212.16,2645.3088
1763273700000.0,3212.17,3214.21,3206.16,3209.59,1807.6144
1763274600000.0,3209.6,3212.78,3207.36,3209.97,947.8961
1763275500000.0,3209.96,3212.54,3198.53,3201.21,1844.71
1763276400000.0,3201.26,3210.47,3199.19,3206.23,2175.2011
1763277300000.0,3206.24,3208.87,3201.04,3206.16,1445.4013
1763278200000.0,3206.15,3213.77,3206.15,3211.4,1796.3722
1763279100000.0,3211.39,3220.62,3211.39,3219.55,2749.2166
1763280000000.0,3219.54,3228.0,3209.16,3210.9,3782.2052
1763280900000.0,3210.9,3215.39,3206.25,3210.62,1416.3771
1763281800000.0,3210.63,3217.14,3210.0,3217.14,1181.4479
1763282700000.0,3217.15,3221.41,3208.86,3219.41,2028.5267
1763283600000.0,3219.42,3219.42,3209.76,3214.69,1020.3577
1763284500000.0,3214.69,3216.66,3208.97,3215.44,1139.0327
1763285400000.0,3215.44,3222.49,3214.38,3221.05,1518.5969
1763286300000.0,3221.05,3249.0,3220.12,3248.26,11103.5945
1763287200000.0,3248.25,3248.25,3232.52,3239.01,4560.4141
1763288100000.0,3239.01,3241.0,3229.41,3234.75,2459.6274
1763289000000.0,3234.75,3237.59,3232.64,3235.41,2035.6318
1763289900000.0,3235.41,3239.1,3232.89,3235.99,1552.1874
1763290800000.0,3235.99,3237.87,3195.36,3199.95,7396.185
1763291700000.0,3199.94,3207.5,3167.44,3173.29,9344.0233
1763292600000.0,3173.29,3180.5,3160.36,3164.84,5298.9261
1763293500000.0,3164.84,3173.72,3161.23,3168.64,3167.5053
1763294400000.0,3168.64,3177.14,3165.04,3170.39,2634.3617
1763295300000.0,3170.4,3182.6,3165.93,3171.94,3046.3301
1763296200000.0,3171.95,3177.27,3154.88,3175.73,16357.7088
1763297100000.0,3175.73,3177.76,3164.67,3168.99,17987.275
1763298000000.0,3168.99,3173.5,3156.66,3169.64,9326.594
1763298900000.0,3169.65,3172.2,3158.29,3158.99,2501.3644
1763299800000.0,3158.99,3167.17,3146.81,3146.82,8768.3133
1763300700000.0,3146.81,3157.28,3139.04,3153.85,4636.8585
1763301600000.0,3153.85,3160.99,3147.51,3155.6,3680.4368
1763302500000.0,3155.59,3158.22,3150.55,3156.28,1198.6214
1763303400000.0,3156.28,3179.0,3154.25,3172.59,4797.2411
1763304300000.0,3172.58,3175.86,3167.08,3172.05,2205.5884
1763305200000.0,3172.06,3178.6,3165.7,3172.76,2977.6936
1763306100000.0,3172.75,3180.76,3168.06,3170.67,2972.9217
1763307000000.0,3170.67,3175.41,3166.5,3171.22,2686.4502
1763307900000.0,3171.21,3173.41,3099.23,3105.44,26951.8942
1763308800000.0,3105.45,3126.02,3088.83,3095.44,20272.4685
1763309700000.0,3095.45,3100.5,3071.82,3078.24,14964.5903
1763310600000.0,3078.24,3086.11,3063.98,3071.03,12678.173
1763311500000.0,3071.02,3076.65,3058.24,3061.6,11171.6028
1763312400000.0,3061.59,3067.55,3056.77,3061.09,8160.6508
1763313300000.0,3061.09,3082.05,3046.35,3067.84,27087.7786
1763314200000.0,3067.83,3079.77,3050.6,3051.79,8412.2145
1763315100000.0,3051.8,3088.46,3026.0,3079.84,23896.9013
1763316000000.0,3079.84,3128.0,3072.89,3117.13,18578.0124
1763316900000.0,3117.14,3123.81,3089.74,3094.46,9346.605
1763317800000.0,3094.49,3094.49,3056.1,3060.77,10297.0455
1763318700000.0,3060.76,3069.5,3043.04,3060.44,7458.3746
1763319600000.0,3060.45,3111.0,3057.61,3107.53,9573.2359
1763320500000.0,3107.53,3116.28,3090.86,3105.01,6179.809
1763321400000.0,3105.0,3111.46,3092.97,3099.37,3072.0262
1763322300000.0,3099.37,3103.96,3087.45,3091.09,3325.2142
1763323200000.0,3091.09,3111.71,3085.29,3106.06,3058.868
1763324100000.0,3106.05,3117.21,3092.08,3111.75,3728.3375
1763325000000.0,3111.75,3114.02,3097.27,3098.89,1906.4756
1763325900000.0,3098.9,3101.52,3089.31,3089.32,1268.9225
1763326800000.0,3089.32,3096.89,3066.57,3072.09,9176.4303
1763327700000.0,3072.09,3078.0,3058.4,3067.09,5191.1546
1763328600000.0,3067.09,3076.35,3060.65,3064.76,4135.0829
1763329500000.0,3064.77,3077.42,3064.5,3073.63,3913.3982
1763330400000.0,3073.64,3081.51,3043.76,3071.37,16116.7812
1763331300000.0,3071.37,3083.85,3059.13,3077.9,6888.5086
1763332200000.0,3077.9,3085.67,3063.94,3066.01,5200.9057
1763333100000.0,3066.01,3102.65,3064.77,3091.86,4595.0656
1763334000000.0,3091.86,3092.67,3004.0,3065.65,37272.4094
1763334900000.0,3065.65,3103.9,3062.73,3091.09,10587.0615
1763335800000.0,3091.09,3107.0,3086.31,3100.02,6335.3339
1763336700000.0,3099.99,3107.28,3092.23,3095.29,4944.6413
1763337600000.0,3095.29,3103.99,3087.48,3094.83,5358.5334
1763338500000.0,3094.83,3123.12,3069.0,3121.65,10061.7449
1763339400000.0,3121.65,3140.4,3108.59,3125.82,11401.3882
1763340300000.0,3125.81,3140.95,3116.37,3136.32,4529.9694
1763341200000.0,3136.33,3142.01,3123.47,3127.92,3785.6413
1763342100000.0,3127.92,3147.72,3119.63,3141.19,5124.658
1763343000000.0,3141.18,3142.5,3128.52,3130.07,2686.1966
1763343900000.0,3130.07,3135.05,3113.85,3114.66,3272.6195
1763344800000.0,3114.66,3155.0,3111.61,3152.01,8128.6415
1763345700000.0,3152.0,3160.35,3140.0,3151.2,5564.9808
1763346600000.0,3151.2,3153.46,3139.65,3143.73,3288.3814
1763347500000.0,3143.73,3149.66,3140.87,3149.4,1962.5359
1763348400000.0,3149.4,3168.16,3148.06,3167.87,3800.8608
1763349300000.0,3167.55,3180.42,3163.53,3170.25,6053.9658
1763350200000.0,3170.26,3177.04,3166.46,3170.51,2637.6617
1763351100000.0,3170.52,3179.19,3169.72,3176.6,2725.7755
1763352000000.0,3176.59,3180.93,3168.59,3171.04,2872.3407
1763352900000.0,3171.04,3193.67,3165.93,3192.32,5206.0556
1763353800000.0,3192.32,3193.16,3181.1,3191.65,2620.0739
1763354700000.0,3191.66,3192.94,3183.03,3185.43,2386.2588
1763355600000.0,3185.43,3193.37,3177.54,3180.17,2347.8715
1763356500000.0,3180.17,3191.6,3177.81,3190.71,3818.788
1763357400000.0,3190.72,3193.21,3176.94,3181.57,3826.0511
1763358300000.0,3181.57,3190.69,3180.8,3186.74,2639.0844
1763359200000.0,3186.75,3190.96,3171.0,3176.2,6767.578
1763360100000.0,3176.21,3193.25,3175.32,3190.41,3608.0817
1763361000000.0,3190.41,3190.82,3182.02,3185.13,2632.7614
1763361900000.0,3185.13,3197.55,3184.5,3194.0,4542.306
1763362800000.0,3194.01,3204.68,3189.04,3196.3,4934.7189
1763363700000.0,3196.29,3204.7,3193.05,3193.05,3786.4305
1763364600000.0,3193.04,3203.24,3191.22,3201.64,3608.9444
1763365500000.0,3201.64,3208.52,3197.24,3198.44,7986.4807
1763366400000.0,3198.44,3204.49,3193.2,3193.2,5384.6224
1763367300000.0,3193.2,3205.0,3191.25,3197.96,3792.9687
1763368200000.0,3197.97,3199.38,3188.0,3188.94,2911.0099
